 Step;                               Task;                               File;      Line;                 Function;        Time(s);        Time(%);     Memory(GB);      Memory(%);         CPU(%);Comment;
    0;                         Own: Start;                           main.cpp;        55;                     main;         0.0000;         0.1856;         0.0156;         0.1401;         0.0000;     ;
    1;                 Configured Probelm;                           main.cpp;        96;                     main;         0.0003;         2.7192;         0.3281;         2.9412;         0.0000;     ;
    2;              --->>--- MDD ---<<---;               AugmentedNetwork.cpp;       384;                BuildMDDs;         0.0000;         0.0102;         0.3281;         2.9412;         0.0000;     ;
    3;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.9121;         0.4219;         3.7815;         0.0000;     ;
    4;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.5803;         0.4219;         3.7815;         0.0000;     ;
    5;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.5996;         0.4219;         3.7815;         0.0000;     ;
    6;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.6097;         0.4219;         3.7815;         0.0000;     ;
    7;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.6395;         0.4219;         3.7815;         0.0000;     ;
    8;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.6287;         0.4219;         3.7815;         0.0000;     ;
    9;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.6350;         0.4219;         3.7815;         0.0000;     ;
   10;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.9690;         0.4219;         3.7815;         0.0000;     ;
   11;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.6964;         0.4219;         3.7815;         0.0000;     ;
   12;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.6904;         0.4219;         3.7815;         0.0000;     ;
   13;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.7413;         0.4219;         3.7815;         0.0000;     ;
   14;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.7213;         0.4219;         3.7815;         0.0000;     ;
   15;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.7329;         0.4219;         3.7815;         0.0000;     ;
   16;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.7062;         0.4219;         3.7815;         0.0000;     ;
   17;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.7280;         0.4219;         3.7815;         0.0000;     ;
   18;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.7280;         0.4219;         3.7815;         0.0000;     ;
   19;                    Build Chain MDD;               AugmentedNetwork.cpp;       151;            BuildChainMDD;         0.0001;         0.7448;         0.4219;         3.7815;         0.0000;     ;
   20;                    Build Chain MDD;               AugmentedNetwork.cpp;       151;            BuildChainMDD;         0.0001;         0.7641;         0.4219;         3.7815;         0.0000;     ;
   21;              --->>--- MDD ---<<---;               AugmentedNetwork.cpp;       424;                BuildMDDs;         0.0001;         0.9658;         0.4219;         3.7815;         0.0000;     ;
   22;          --->>--- BBTree ---<<--- ;                         BBTree.cpp;       188;                   BBTree;         0.0000;         0.0754;         0.4219;         3.7815;         0.0000;     ;
   23;                ->>- Lagrange -<<- ;           LagrangianRelaxation.cpp;        14;                 Lagrange;         0.0000;         0.2087;         0.4375;         3.9216;         0.0000;     ;
   24;                CPLEX - Model built;           LagrangianRelaxation.cpp;        71;                 Lagrange;         0.0005;         4.4141;         3.7812;        33.8936;         0.0000;     ;
   25;         CPLEX - Get some variables;           LagrangianRelaxation.cpp;       115;                 Lagrange;         0.0002;         1.5966;         4.6094;        41.3165;         0.0000;     ;
   26;                      Warm Up phase;           LagrangianRelaxation.cpp;       120;                 Lagrange;         0.0000;         0.0088;         4.6094;        41.3165;         0.0000;     ;
   27;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.0165;         4.6094;        41.3165;         0.0000;     ;
   28;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.5757;         4.6250;        41.4566;         0.0000;     ;
   29;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.7209;         4.6250;        41.4566;         0.0000;     ;
   30;         CPLEX - Get some variables;           LagrangianRelaxation.cpp;       115;                 Lagrange;         0.0002;         1.8667;         4.7188;        42.2969;         0.0000;     ;
   31;                      Warm Up phase;           LagrangianRelaxation.cpp;       120;                 Lagrange;         0.0000;         0.0095;         4.7188;        42.2969;         0.0000;     ;
   32;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.0144;         4.7188;        42.2969;         0.0000;     ;
   33;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.4333;         4.7188;        42.2969;         0.0000;     ;
   34;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.6546;         4.7188;        42.2969;         0.0000;     ;
   35;         CPLEX - Get some variables;           LagrangianRelaxation.cpp;       115;                 Lagrange;         0.0002;         1.6727;         4.7500;        42.5770;         0.0000;     ;
   36;                      Warm Up phase;           LagrangianRelaxation.cpp;       120;                 Lagrange;         0.0000;         0.0084;         4.7500;        42.5770;         0.0000;     ;
   37;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.0140;         4.7500;        42.5770;         0.0000;     ;
   38;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.3063;         4.7500;        42.5770;         0.0000;     ;
   39;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.4305;         4.7500;        42.5770;         0.0000;     ;
