 Step;                               Task;                               File;      Line;                 Function;        Time(s);        Time(%);     Memory(GB);      Memory(%);         CPU(%);Comment;
    0;                         Own: Start;                           main.cpp;        55;                     main;         0.0000;         0.1188;         0.0156;         0.0818;         0.0000;     ;
    1;                   OWN || Read Data;                _own_DataReader.cpp;        17;               DataReader;         0.0006;         2.2452;         0.2344;         1.2275;         0.0000;     ;
    2;       OWN || Found cycles & chains;          _own_CycleChainFinder.cpp;        49;         CycleChainFinder;         0.0043;        15.6778;         0.3125;         1.6367;         0.0000;     ;
    3;                 Own || Built Model;               _own_KidneyModel.cpp;       351;  solvePatternFormulation;         0.0049;        17.8702;         4.3594;        22.8314;         0.0000;     ;
    4;                Own || Solved Model;               _own_KidneyModel.cpp;       356;  solvePatternFormulation;         0.0111;        40.6531;        14.0000;        73.3224;         0.0000;     ;
    5;                 Read instance file;                           main.cpp;        73;                     main;         0.0006;         2.2714;        14.1719;        74.2226;         0.0000;     ;
    6;            Configure solution mode;                           main.cpp;        97;                     main;         0.0000;         0.0052;        14.1719;        74.2226;         0.0000;     ;
    7;              --->>--- MDD ---<<---;               AugmentedNetwork.cpp;       384;                BuildMDDs;         0.0000;         0.0044;        14.1719;        74.2226;         0.0000;     ;
    8;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.5242;        14.2188;        74.4681;         0.0000;     ;
    9;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.4215;        14.2188;        74.4681;         0.0000;     ;
   10;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.3653;        14.2188;        74.4681;         0.0000;     ;
   11;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.2758;        14.2344;        74.5499;         0.0000;     ;
   12;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.2632;        14.2344;        74.5499;         0.0000;     ;
   13;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.2787;        14.2344;        74.5499;         0.0000;     ;
   14;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.2810;        14.2344;        74.5499;         0.0000;     ;
   15;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.2973;        14.2344;        74.5499;         0.0000;     ;
   16;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.2865;        14.2344;        74.5499;         0.0000;     ;
   17;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.3004;        14.2344;        74.5499;         0.0000;     ;
   18;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.2944;        14.2344;        74.5499;         0.0000;     ;
   19;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.3044;        14.2344;        74.5499;         0.0000;     ;
   20;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.3145;        14.2344;        74.5499;         0.0000;     ;
   21;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.3076;        14.2344;        74.5499;         0.0000;     ;
   22;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.3195;        14.2344;        74.5499;         0.0000;     ;
   23;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.3041;        14.2344;        74.5499;         0.0000;     ;
   24;              --->>--- MDD ---<<---;               AugmentedNetwork.cpp;       424;                BuildMDDs;         0.0001;         0.3107;        14.2344;        74.5499;         0.0000;     ;
   25;          --->>--- BBTree ---<<--- ;                         BBTree.cpp;       188;                   BBTree;         0.0000;         0.0185;        14.2344;        74.5499;         0.0000;     ;
   26;                ->>- Lagrange -<<- ;           LagrangianRelaxation.cpp;        14;                 Lagrange;         0.0000;         0.1327;        14.2500;        74.6318;         0.0000;     ;
   27;                CPLEX - Model built;           LagrangianRelaxation.cpp;        71;                 Lagrange;         0.0002;         0.5817;        14.2656;        74.7136;         0.0000;     ;
   28;         CPLEX - Get some variables;           LagrangianRelaxation.cpp;       115;                 Lagrange;         0.0002;         0.7176;        14.3438;        75.1227;         0.0000;     ;
   29;                      Warm Up phase;           LagrangianRelaxation.cpp;       120;                 Lagrange;         0.0000;         0.0041;        14.3438;        75.1227;         0.0000;     ;
   30;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.0060;        14.3438;        75.1227;         0.0000;     ;
   31;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.3985;        14.3594;        75.2046;         0.0000;     ;
   32;         CPLEX - Get some variables;           LagrangianRelaxation.cpp;       115;                 Lagrange;         0.0002;         0.6083;        14.4062;        75.4501;         0.0000;     ;
   33;                      Warm Up phase;           LagrangianRelaxation.cpp;       120;                 Lagrange;         0.0000;         0.0051;        14.4062;        75.4501;         0.0000;     ;
   34;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.0066;        14.4062;        75.4501;         0.0000;     ;
   35;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.2862;        14.4062;        75.4501;         0.0000;     ;
   36;         CPLEX - Get some variables;           LagrangianRelaxation.cpp;       115;                 Lagrange;         0.0001;         0.4788;        14.4062;        75.4501;         0.0000;     ;
   37;                      Warm Up phase;           LagrangianRelaxation.cpp;       120;                 Lagrange;         0.0000;         0.0041;        14.4062;        75.4501;         0.0000;     ;
   38;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.0064;        14.4062;        75.4501;         0.0000;     ;
   39;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.2393;        14.4062;        75.4501;         0.0000;     ;
   40;                 No new Cycle added;           LagrangianRelaxation.cpp;       230;                 Lagrange;         0.0000;         0.1326;        14.4062;        75.4501;         0.0000;     ;
   41;                            Phase 3;           LagrangianRelaxation.cpp;       255;                 Lagrange;         0.0000;         0.0051;        14.4062;        75.4501;         0.0000;     ;
   42;                ->>- Lagrange -<<- ;           LagrangianRelaxation.cpp;       445;                 Lagrange;         0.0025;         9.0996;        16.3594;        85.6792;         0.0000;     ;
   43;          Save solution | Large gap;                         BBTree.cpp;       324;                   BBTree;         0.0001;         0.2970;        16.3594;        85.6792;         0.0000;     ;
   44;          --->>--- BBTree ---<<--- ;                         BBTree.cpp;       363;                   BBTree;         0.0006;         2.1985;        16.3594;        85.6792;         0.0000;     ;
